Username,Content,Likes,Timestamp,Url,Keyword
marskino0811,"接案中：
漫畫 插畫 
歡迎來訊臉書『腦開』洽詢

也歡迎支持者抖內贊助
https://marskino0811.oen.tw/",1106,2024-11-04T08:39:34.000Z,https://www.threads.net/t/DB8Wx3vzD0f,oen.tw
iam_nanahha,留言置頂有好心脆友提供官網連結喔,2,2024-12-15T08:24:00.000Z,https://www.threads.net/t/DDl5lwWTxjr,oen.tw
michael_yo_wang,找到了 https://tw400.oen.tw/good/2PJq4325FWxnxODBL4d6iSa1Q3O?from=tw400_good&goodPendingJobId=pg-gU9kSF7Lj-dXpnzv3SUmH,1,2024-12-15T08:25:30.000Z,https://www.threads.net/t/DDl5wp7S5SG,oen.tw
yanlongcang,我也是假日，2／15當天寫沒多久就回信了，如果沒收到看你要不要再寄一次，記得你的資料，訂單號碼要給，不然還要有個來回問的時間。,0,2025-02-17T06:59:36.000Z,https://www.threads.net/t/DGKizmcyjML,oen.tw
yanlongcang,info@oen.tw,1,2025-02-17T07:03:40.000Z,https://www.threads.net/t/DGKjRYiy8C6,oen.tw
simonxiwu,"【426東京池袋新珍味史明紀念館定期導覽】

我們的導覽基本上是每個月最後一個禮拜六，所以這個月是4/26，當然不是故意的。至於什麼是「共產黨的形狀」，有誰會比歐吉桑瞭解呢？😆

如果覺得4/26太敏感，下次是5/31、下下次是6/28。手刀報名👇
https://tw400.oen.tw/events/2anUkZdaN46hAKOi8MTKqf2bcdw",34,2025-04-24T00:32:00.000Z,https://www.threads.net/t/DIzy6Y1SNKq,oen.tw
dafanshu2193,"一克的愛，支持大麻除罪
https://twsea420.oen.tw/",4,2025-02-27T11:18:35.000Z,https://www.threads.net/t/DGkwZIiBv5B,oen.tw
su_beng1918,"近日在文物館找到一些「獨立台灣會」帽子

這頂帽子是1996年製作的，經過近30年的時間，帽子狀況仍非常好，配色及款式也意外地符合現代時尚潮流。

其實歐吉桑很少戴帽子，找了好久才找到這張照片，是歐吉桑在戰車上敲鑼，戴的就是這一頂帽子。

歐吉桑回台後，1995年開始，每逢週末，總能看見一輛輛的黃色戰車，車體有著台灣獨立的大字，上面插著獨立台灣會、台灣民族主義的關東旗，傳來鼓聲與吶喊，大聲呼喊台灣人要出頭天做主人，不要再做外來者的奴隸。

不管是出太陽或是下大雨，戰車照樣出行，歐吉桑在1996年做了這頂「獨立台灣會」的帽子，讓一起打拼的同志們能遮陽。

你也要一起戴上這頂帽子，走在台灣獨立建國的道路上嗎？

數量有限，歡迎贊助",350,2025-05-06T15:13:36.000Z,https://www.threads.net/t/DJURV-LSKUI,oen.tw
su_beng1918,"購買資訊在此
https://tw400.oen.tw/good/2winoHT74P0UYj8YoSIwUY2WnWA?from=tw400&m=points",23,2025-05-06T15:19:42.000Z,https://www.threads.net/t/DJUSCpcyTho,oen.tw
su_beng1918,"台獨悠遊卡

史明在一百歲時
獨立台灣會及史明教育基金會
幫他慶祝百歲生日
當時曾出過一款
台獨悠遊卡
黑色的底版
上面大大金色的獨立台灣字樣
又有史明簽名
簡單大方的設計
令人愛不釋手
獨立台灣的字
是由彰化縣書法學
前理事長所題字
目前尚有少量
可以對外開放收藏

年假結束，各行各業紛紛開工。

無論開車、搭公車、擠捷運通勤，帶上台獨悠遊卡，嗶一下，自由通行！

上班路上，有史明的台灣獨立精神陪伴。

👉 歡迎贊助
https://tw400.oen.tw/good/2PJq4325FWxnxODBL4d6iSa1Q3O?from=tw400&m=points",708,2025-02-04T03:06:01.000Z,https://www.threads.net/t/DFopvQ0ybbc,oen.tw
iam_nanahha,"好可愛🥹🥹

大家快去買！（我買好了😎

https://tw400.oen.tw/good/2tn2C7hK3UCJTchpVBVogre2QZM?from=tw400_good

財團法人史明教育基金會

歐吉桑漫畫短袖T恤",4,2025-04-03T03:06:26.000Z,https://www.threads.net/t/DH9_5JkSMrA,oen.tw
netting,"當初群組內一群人討論的玩笑話，說要去紐時廣場買看板，然後就真的有人去詢價了，有人去喬檔期了，有人做了示意圖，有人聯繫了募資平台。

170 分鐘完成 260 萬的募資並不是一個開始，接踵而來的是質疑、分化、猜忌。

很開心看到看板在 1 小時前上了這檔影片，接下來的 23 個小時會不斷的在紐時廣告輪播，並且是最中間、最貴的那個看板。

我要很驕傲的說，這些戰友，都是頂尖的執行者，他們勇敢的向前行，不畏恐懼。有了他們，才有這個專案的成功。

STAND STRONG with TAIWAN

standstrongwithtaiwan",22779,2024-06-04T05:11:12.000Z,https://www.threads.net/t/C7yBRnuSSGt,oen.tw
yhc.biz,身為募資平台 oen.tw 很榮幸可以參與這次計畫,62,2024-06-04T12:31:58.000Z,https://www.threads.net/t/C7yzwLlytVK,oen.tw
iam_nanahha,"這是昨天參加活動買的悠遊卡😍

喜歡🥰",901,2024-12-15T03:35:06.000Z,https://www.threads.net/t/DDlYhtETtjO,oen.tw
nanako_6611,"基金會官網有
https://tw400.oen.tw/good/2PJq4325FWxnxODBL4d6iSa1Q3O",13,2024-12-15T07:02:00.000Z,https://www.threads.net/t/DDlwNK3pIXP,oen.tw
oooooreo.tw,"不知道誰能分享「藍新」「綠界」系統的真實使用體驗，以及兩者之間的優劣呢？
或是說，有沒有更好的選擇！？
（有公司，會以產品與課程銷售為主要營業項目）

網路上搜尋，好多都是業配不然就是部落客寫手...",41,2025-02-27T08:58:00.000Z,https://www.threads.net/t/DGkgTcWS3GV,oen.tw
charlieeeee.tw,"歡迎試試 應援科技 @oen.tech 
https://oen.tw",6,2025-02-28T05:02:48.000Z,https://www.threads.net/t/DGmqLr2TW6U,oen.tw
wartime002,"這個，我允許眾卿一起跟本王搶購。

平身！

購買網址附於留言處",45,2025-02-04T16:33:17.000Z,https://www.threads.net/t/DFqGH_xTSfC,oen.tw
wartime002,https://tw400.oen.tw/good/2PJq4325FWxnxODBL4d6iSa1Q3O?from=tw400&m=points&s=07&fbclid=IwZXh0bgNhZW0CMTEAAR2uYTITdnGlFhXXxAlRSmPP2UuYJFgMOhmXxE84m_kVj02m8K6TfLGK4Rg_aem_CMR1VfzLJy1-Uxzir2GclQ,7,2025-02-04T16:33:21.000Z,https://www.threads.net/t/DFqGIeUTibo,oen.tw
marskino0811,"網友委託
畫他們一家三口

************
有需要漫畫，插畫
可以到我臉書粉專私訊洽談
threads沒辦法私訊比較不方便
腦開：
https://www.facebook.com/share/183UnRE2ca/
腦開2.0
https://www.facebook.com/share/1BQkgdnqMk/
X平台
https://x.com/marskino0811?t=T36SfBOq0CPjeeC8G559Zw&s=09
也歡迎支持者抖內贊助😋
https://marskino0811.oen.tw/",92,2025-03-24T05:51:10.000Z,https://www.threads.net/t/DHkiy77pLAK,oen.tw
marskino0811,"臉友委託年曆繪製
用來祝福大家新年快樂

#歡迎下載取用 

接案中
漫畫，插畫，人像
有需要的歡迎私訊洽詢

也歡迎支持者抖內贊助♡
https://marskino0811.oen.tw/",27,2023-12-30T05:31:47.000Z,https://www.threads.net/t/C1dy3PuSX09,oen.tw
marskino0811,"支持者委託：
全家人合照

***********
接案中
有需要漫畫插畫
可到臉書粉專私訊洽詢
https://www.facebook.com/share/16HQvqYf8P/

也歡迎支持者抖內贊助🧑‍🎨💛

https://marskino0811.oen.tw/",174,2025-03-08T07:17:14.000Z,https://www.threads.net/t/DG7f7X6pvP8,oen.tw
